Date,Open,High,Low,Close,Volume,Adj Close
2012-12-03,17.16,19.36,16.64,18.09,4976100,18.09
2012-11-01,16.42,17.25,16.00,17.11,4388200,16.94
2012-10-01,16.22,16.73,15.00,16.31,6721500,16.15
2012-09-04,15.68,17.10,15.59,16.09,7076500,15.93
2012-08-01,15.62,16.35,14.90,15.65,5804000,15.33
2012-07-02,18.19,18.20,14.73,15.55,8709100,15.24
2012-06-01,18.90,19.11,16.93,18.15,6020800,17.78
2012-05-01,20.34,20.61,18.29,19.02,6700700,18.45
2012-04-02,20.35,22.21,19.25,20.33,10288800,19.72
2012-03-01,21.52,22.42,20.08,20.21,9013500,19.61
2012-02-01,22.04,23.16,20.20,21.45,8370100,20.66
2012-01-03,21.28,22.94,20.44,21.98,7351100,21.17
2011-12-01,19.87,21.37,19.87,21.04,5409200,20.27
2011-11-01,19.01,20.27,18.13,20.00,6541900,19.13
2011-10-03,16.48,20.01,16.12,19.37,7386200,18.52
2011-09-01,18.31,18.99,15.93,16.63,6133100,15.90
2011-08-01,20.33,20.34,16.51,18.33,7720300,17.39
2011-07-01,23.31,24.28,19.96,20.17,6449700,19.13
2011-06-01,24.71,24.77,21.90,23.37,5780700,22.17
2011-05-02,24.42,25.43,23.82,24.70,3732900,23.28
2011-04-01,23.43,25.37,23.30,24.31,6644300,22.91
2011-03-01,21.91,23.63,21.40,23.54,6458500,22.19
2011-02-01,20.76,22.90,20.45,21.82,7872800,20.46
2011-01-03,22.56,22.63,20.44,20.69,4496700,19.40
2010-12-01,23.25,23.67,20.77,22.49,4679300,21.08
2010-11-01,22.94,24.00,22.23,22.99,4525100,21.43
2010-10-01,21.29,22.99,20.63,22.90,6359000,21.35
2010-09-01,19.01,21.36,18.96,21.16,4038900,19.73
2010-08-02,20.76,21.91,18.73,18.79,6034200,17.42
2010-07-01,19.68,20.61,19.09,20.54,6615800,19.04
2010-06-01,21.99,22.64,19.43,19.66,6819700,18.22
2010-05-03,23.70,24.54,21.74,22.14,7491400,20.40
2010-04-01,25.00,27.04,23.54,23.60,7196900,21.75
2010-03-01,25.01,25.41,23.84,24.86,6228800,22.91
2010-02-01,22.65,25.37,21.81,24.92,5594200,22.87
2010-01-04,21.40,23.23,20.91,22.45,5035100,20.60
2009-12-01,22.56,22.83,20.50,21.29,4466400,19.54
2009-11-02,22.42,23.63,22.18,22.50,5140800,20.55
2009-10-01,19.70,23.53,19.28,22.33,7429700,20.40
2009-09-01,18.97,20.29,18.75,19.72,5856500,18.01
2009-08-03,19.03,19.80,18.35,19.05,5712100,17.31
2009-07-01,20.33,20.51,17.87,18.93,6028700,17.20
2009-06-01,20.28,21.42,20.09,20.37,5155800,18.51
2009-05-01,19.79,20.49,18.98,20.26,6485000,18.32
2009-04-01,20.10,21.73,19.21,19.75,4942000,17.86
2009-03-02,18.28,21.41,17.19,20.19,4732700,18.26
2009-02-02,21.19,22.03,17.95,18.50,5626900,16.66
2009-01-02,23.99,24.25,21.29,21.43,3343900,19.30
2008-12-01,21.43,24.32,20.33,23.77,4151500,21.41
2008-11-03,21.27,22.99,17.19,21.80,5318900,19.56
2008-10-01,23.37,25.04,19.45,21.27,6821300,19.09
2008-09-02,26.69,27.94,22.63,23.72,6772700,21.29
2008-08-01,26.84,28.95,25.14,26.34,4623300,23.56
2008-07-01,28.36,30.09,25.20,26.72,5999100,23.90
2008-06-02,31.81,32.69,27.73,28.55,4031000,25.54
2008-05-01,31.44,32.62,30.14,31.87,3548000,28.42
2008-04-01,29.75,32.07,25.75,31.60,5084000,28.18
2008-03-03,28.72,30.21,27.79,29.35,4722000,26.18
2008-02-01,31.27,32.50,28.63,28.74,6219300,25.57
2008-01-02,34.21,34.87,30.38,30.99,4953100,27.57
2007-12-03,34.75,36.00,34.07,34.21,3621700,30.44
2007-11-01,33.60,35.38,30.40,34.80,4488500,30.90
2007-10-01,33.37,35.10,31.00,34.00,4329100,30.19
2007-09-04,31.73,34.25,30.25,33.11,3512600,29.40
2007-08-01,31.79,33.60,30.10,31.73,4187100,28.12
2007-07-02,34.23,37.14,30.87,31.87,4672600,28.24
2007-06-01,34.48,37.15,33.39,34.03,4058100,30.16
2007-05-01,36.30,36.45,33.53,34.48,3403900,30.49
2007-04-02,36.76,38.31,36.01,36.30,3285700,32.10
2007-03-01,34.27,37.67,33.15,36.64,3172100,32.40
2007-02-01,36.01,37.24,33.72,34.53,3684500,30.49
2007-01-03,33.90,36.24,32.86,36.03,3992300,31.81
2006-12-01,30.79,35.61,30.36,34.56,3505000,30.51
