Date,Open,High,Low,Close,Volume,Adj Close
2012-12-03,142.80,145.58,139.54,142.41,156690500,142.41
2012-11-01,141.65,143.72,134.70,142.15,150920800,141.15
2012-10-01,144.52,147.16,140.39,141.35,134445400,140.35
2012-09-04,141.04,148.11,140.13,143.97,133785700,142.96
2012-08-01,138.70,143.09,135.58,141.16,111546100,139.42
2012-07-02,136.48,139.34,132.60,137.71,142158000,136.01
2012-06-01,129.41,136.27,127.14,136.10,183662900,134.42
2012-05-01,139.79,141.66,129.55,131.47,190924600,129.18
2012-04-02,140.64,142.21,135.76,139.87,157536800,137.44
2012-03-01,137.31,141.83,134.36,140.81,145136500,138.36
2012-02-01,132.29,138.19,132.13,137.02,154025800,134.05
2012-01-03,127.76,133.40,126.43,131.32,152051600,128.47
2011-12-01,124.85,127.26,120.03,125.50,187820700,122.78
2011-11-01,122.03,128.02,116.20,124.99,254230300,121.51
2011-10-03,112.49,129.42,107.43,125.50,283279500,122.00
2011-09-01,122.29,123.40,111.30,113.15,308413100,110.00
2011-08-01,130.84,130.96,110.27,122.22,406620800,118.20
2011-07-01,132.09,135.70,127.97,129.33,207393800,125.08
2011-06-01,134.51,134.92,126.19,131.97,224277400,127.63
2011-05-02,137.07,137.18,131.38,134.90,166778000,129.82
2011-04-01,133.41,136.57,129.51,136.43,146399300,131.30
2011-03-01,133.57,133.69,125.28,132.59,213912800,127.60
2011-02-01,129.46,134.69,129.38,133.15,155864500,127.58
2011-01-03,126.71,130.35,125.70,128.68,150478100,123.30
2010-12-01,120.20,126.20,120.19,125.75,127907600,120.49
2010-11-01,119.07,122.95,117.59,118.49,200838500,112.94
2010-10-01,114.99,119.76,113.18,118.49,186276000,112.94
2010-09-01,106.73,115.79,106.66,114.13,205845200,108.79
2010-08-02,111.99,113.18,104.29,105.31,218904700,99.85
2010-07-01,103.15,112.29,101.13,110.27,235498600,104.55
2010-06-01,108.35,113.20,102.88,103.22,272280000,97.86
2010-05-03,119.38,120.68,104.38,109.37,385590600,103.20
2010-04-01,117.80,122.12,117.10,118.81,197956600,112.11
2010-03-01,111.20,118.17,111.17,117.00,176551500,110.40
2010-02-01,108.15,111.58,104.58,110.74,243447400,104.07
2010-01-04,112.37,115.14,107.22,107.39,211448400,100.92
2009-12-01,110.92,113.03,109.02,111.44,135205600,104.73
2009-11-02,104.13,111.74,103.08,109.94,179587000,102.76
2009-10-01,103.00,110.31,101.99,103.56,218514000,96.80
2009-09-01,101.95,108.06,99.57,105.59,192016100,98.70
2009-08-03,99.85,104.35,98.11,102.46,196839300,95.32
2009-07-01,92.34,99.83,87.00,98.81,204691000,91.92
2009-06-01,93.67,96.11,88.85,91.95,240170100,85.54
2009-05-01,87.44,93.70,86.72,92.53,272718800,85.60
2009-04-01,78.53,89.02,78.33,87.42,301163100,80.87
2009-03-02,72.52,83.30,67.10,79.52,417157600,73.56
2009-02-02,81.57,87.74,73.81,73.93,407663300,67.90
2009-01-02,90.44,94.45,80.05,82.83,362760400,76.08
2008-12-01,87.51,92.43,81.86,90.24,323359700,82.88
2008-11-03,96.78,100.86,74.34,90.09,467397100,82.08
2008-10-01,115.27,116.69,83.58,96.83,534504800,88.22
2008-09-02,130.03,130.71,110.53,115.99,401587700,105.68
2008-08-01,127.12,131.51,124.76,128.79,215877300,116.66
2008-07-01,126.52,129.16,120.02,126.83,337891300,114.89
2008-06-02,139.83,140.89,127.04,127.98,269879800,115.93
2008-05-01,138.38,144.30,137.52,140.35,179255100,126.50
2008-04-01,133.61,140.59,132.33,138.26,191956700,124.62
2008-03-03,133.14,135.81,126.07,131.97,281440600,118.95
2008-02-01,137.94,139.61,131.73,133.82,220182200,120.02
2008-01-02,146.53,146.99,126.00,137.37,307167300,123.21
2007-12-03,148.19,152.89,143.96,146.21,170095700,131.14
2007-11-01,153.29,153.41,140.66,148.66,271219900,132.63
2007-10-01,152.60,157.52,148.66,154.65,177001000,137.97
2007-09-04,147.45,154.39,144.33,152.58,163177900,136.13
2007-08-01,145.18,150.59,137.00,147.59,277452000,131.05
2007-07-02,150.87,155.53,145.04,145.72,205031000,129.39
2007-06-01,153.88,154.40,148.06,150.43,176313600,133.58
2007-05-01,148.42,153.89,147.67,153.32,119229300,135.56
2007-04-02,142.16,149.80,141.48,148.29,94608200,131.11
2007-03-01,139.34,143.81,136.75,142.00,138477200,125.55
2007-02-01,144.15,146.42,139.00,140.93,88004400,124.11
2007-01-03,142.25,144.13,140.25,143.75,71109900,126.59
2006-12-01,140.53,143.24,138.97,141.62,62910900,124.72
